first_date,country,installs,retained_d1,retained_d7,retention_d1,retention_d7,retention_d1_percent,retention_d7_percent
2021-11-17,AD,3,2,1,0.6666666666666666,0.3333333333333333,66.67,33.33
2021-11-17,AE,235,67,26,0.2851063829787234,0.11063829787234042,28.51,11.06
2021-11-17,AF,48,16,5,0.3333333333333333,0.10416666666666667,33.33,10.42
2021-11-17,AG,5,2,1,0.4,0.2,40.0,20.0
2021-11-17,AL,33,14,2,0.42424242424242425,0.06060606060606061,42.42,6.06
2021-11-17,AM,83,39,5,0.46987951807228917,0.060240963855421686,46.99,6.02
2021-11-17,AO,15,5,0,0.3333333333333333,0.0,33.33,0.0
2021-11-17,AR,1451,568,124,0.39145416953824946,0.08545830461750517,39.15,8.55
2021-11-17,AS,2,0,1,0.0,0.5,0.0,50.0
2021-11-17,AT,52,18,1,0.34615384615384615,0.019230769230769232,34.62,1.92
2021-11-17,AU,141,63,26,0.44680851063829785,0.18439716312056736,44.68,18.44
2021-11-17,AW,1,0,0,0.0,0.0,0.0,0.0
2021-11-17,AZ,265,93,17,0.35094339622641507,0.06415094339622641,35.09,6.42
2021-11-17,BA,67,27,5,0.40298507462686567,0.07462686567164178,40.3,7.46
2021-11-17,BB,6,3,1,0.5,0.16666666666666666,50.0,16.67
2021-11-17,BD,329,114,28,0.3465045592705167,0.0851063829787234,34.65,8.51
2021-11-17,BE,132,30,13,0.22727272727272727,0.09848484848484848,22.73,9.85
2021-11-17,BF,29,10,0,0.3448275862068966,0.0,34.48,0.0
2021-11-17,BG,165,54,14,0.32727272727272727,0.08484848484848485,32.73,8.48
2021-11-17,BH,15,5,0,0.3333333333333333,0.0,33.33,0.0
2021-11-17,BJ,17,8,3,0.47058823529411764,0.17647058823529413,47.06,17.65
2021-11-17,BN,32,18,5,0.5625,0.15625,56.25,15.62
2021-11-17,BO,149,52,22,0.348993288590604,0.1476510067114094,34.9,14.77
2021-11-17,BR,4145,1561,376,0.37659831121833537,0.09071170084439083,37.66,9.07
2021-11-17,BS,12,6,2,0.5,0.16666666666666666,50.0,16.67
2021-11-17,BT,7,2,0,0.2857142857142857,0.0,28.57,0.0
2021-11-17,BW,4,2,1,0.5,0.25,50.0,25.0
2021-11-17,BY,176,64,16,0.36363636363636365,0.09090909090909091,36.36,9.09
2021-11-17,BZ,7,1,0,0.14285714285714285,0.0,14.29,0.0
2021-11-17,CA,218,89,17,0.40825688073394495,0.0779816513761468,40.83,7.8
2021-11-17,CD,6,4,1,0.6666666666666666,0.16666666666666666,66.67,16.67
2021-11-17,CF,1,1,0,1.0,0.0,100.0,0.0
2021-11-17,CG,7,2,1,0.2857142857142857,0.14285714285714285,28.57,14.29
2021-11-17,CH,33,14,0,0.42424242424242425,0.0,42.42,0.0
2021-11-17,CI,58,20,1,0.3448275862068966,0.017241379310344827,34.48,1.72
2021-11-17,CL,1149,416,121,0.36205395996518713,0.10530896431679722,36.21,10.53
2021-11-17,CM,14,6,2,0.42857142857142855,0.14285714285714285,42.86,14.29
2021-11-17,CN,493,132,16,0.26774847870182555,0.032454361054766734,26.77,3.25
2021-11-17,CO,806,306,89,0.37965260545905705,0.11042183622828784,37.97,11.04
2021-11-17,CR,135,60,23,0.4444444444444444,0.17037037037037037,44.44,17.04
2021-11-17,CV,6,2,1,0.3333333333333333,0.16666666666666666,33.33,16.67
2021-11-17,CW,6,2,3,0.3333333333333333,0.5,33.33,50.0
2021-11-17,CY,34,13,4,0.38235294117647056,0.11764705882352941,38.24,11.76
2021-11-17,CZ,363,116,24,0.31955922865013775,0.06611570247933884,31.96,6.61
2021-11-17,DE,427,140,40,0.32786885245901637,0.0936768149882904,32.79,9.37
2021-11-17,DJ,13,5,0,0.38461538461538464,0.0,38.46,0.0
2021-11-17,DK,23,10,5,0.43478260869565216,0.21739130434782608,43.48,21.74
2021-11-17,DO,223,106,24,0.47533632286995514,0.10762331838565023,47.53,10.76
2021-11-17,DZ,5,2,0,0.4,0.0,40.0,0.0
2021-11-17,EC,436,146,36,0.3348623853211009,0.08256880733944955,33.49,8.26
2021-11-17,EE,21,5,2,0.23809523809523808,0.09523809523809523,23.81,9.52
2021-11-17,EG,16,3,1,0.1875,0.0625,18.75,6.25
2021-11-17,ES,333,104,29,0.3123123123123123,0.08708708708708708,31.23,8.71
2021-11-17,ET,8,4,1,0.5,0.125,50.0,12.5
2021-11-17,FI,22,9,0,0.4090909090909091,0.0,40.91,0.0
2021-11-17,FJ,24,12,5,0.5,0.20833333333333334,50.0,20.83
2021-11-17,FM,3,2,1,0.6666666666666666,0.3333333333333333,66.67,33.33
2021-11-17,FO,1,1,1,1.0,1.0,100.0,100.0
2021-11-17,FR,886,275,89,0.31038374717832956,0.10045146726862303,31.04,10.05
2021-11-17,GA,13,10,3,0.7692307692307693,0.23076923076923078,76.92,23.08
2021-11-17,GB,448,153,48,0.34151785714285715,0.10714285714285714,34.15,10.71
2021-11-17,GD,3,2,1,0.6666666666666666,0.3333333333333333,66.67,33.33
2021-11-17,GE,118,42,10,0.3559322033898305,0.0847457627118644,35.59,8.47
2021-11-17,GF,11,6,1,0.5454545454545454,0.09090909090909091,54.55,9.09
2021-11-17,GH,24,10,6,0.4166666666666667,0.25,41.67,25.0
2021-11-17,GI,1,0,0,0.0,0.0,0.0,0.0
2021-11-17,GL,1,0,0,0.0,0.0,0.0,0.0
2021-11-17,GN,34,5,2,0.14705882352941177,0.058823529411764705,14.71,5.88
2021-11-17,GP,12,6,4,0.5,0.3333333333333333,50.0,33.33
2021-11-17,GR,344,117,32,0.34011627906976744,0.09302325581395349,34.01,9.3
2021-11-17,GT,241,95,32,0.3941908713692946,0.13278008298755187,39.42,13.28
2021-11-17,GU,15,4,0,0.26666666666666666,0.0,26.67,0.0
2021-11-17,GW,2,0,0,0.0,0.0,0.0,0.0
2021-11-17,GY,21,10,4,0.47619047619047616,0.19047619047619047,47.62,19.05
2021-11-17,HK,44,19,5,0.4318181818181818,0.11363636363636363,43.18,11.36
2021-11-17,HN,87,35,8,0.40229885057471265,0.09195402298850575,40.23,9.2
2021-11-17,HR,62,24,4,0.3870967741935484,0.06451612903225806,38.71,6.45
2021-11-17,HT,22,6,2,0.2727272727272727,0.09090909090909091,27.27,9.09
2021-11-17,HU,242,103,27,0.4256198347107438,0.1115702479338843,42.56,11.16
2021-11-17,ID,1976,777,148,0.3932186234817814,0.07489878542510121,39.32,7.49
2021-11-17,IE,50,22,6,0.44,0.12,44.0,12.0
2021-11-17,IL,210,66,19,0.3142857142857143,0.09047619047619047,31.43,9.05
2021-11-17,IN,11756,5027,1168,0.4276114324600204,0.09935352160598843,42.76,9.94
2021-11-17,IQ,25,15,1,0.6,0.04,60.0,4.0
2021-11-17,IS,1,1,0,1.0,0.0,100.0,0.0
2021-11-17,IT,975,379,121,0.38871794871794874,0.12410256410256411,38.87,12.41
2021-11-17,JM,47,22,0,0.46808510638297873,0.0,46.81,0.0
2021-11-17,JO,104,30,8,0.28846153846153844,0.07692307692307693,28.85,7.69
2021-11-17,JP,637,278,136,0.4364207221350079,0.21350078492935637,43.64,21.35
2021-11-17,KE,40,17,3,0.425,0.075,42.5,7.5
2021-11-17,KG,81,39,10,0.48148148148148145,0.12345679012345678,48.15,12.35
2021-11-17,KH,7,4,0,0.5714285714285714,0.0,57.14,0.0
2021-11-17,KR,152,52,19,0.34210526315789475,0.125,34.21,12.5
2021-11-17,KW,84,31,9,0.36904761904761907,0.10714285714285714,36.9,10.71
2021-11-17,KY,2,1,1,0.5,0.5,50.0,50.0
2021-11-17,KZ,945,383,89,0.4052910052910053,0.09417989417989418,40.53,9.42
2021-11-17,LA,71,22,7,0.30985915492957744,0.09859154929577464,30.99,9.86
2021-11-17,LB,91,36,13,0.3956043956043956,0.14285714285714285,39.56,14.29
2021-11-17,LC,5,1,1,0.2,0.2,20.0,20.0
2021-11-17,LK,56,31,10,0.5535714285714286,0.17857142857142858,55.36,17.86
2021-11-17,LT,44,21,6,0.4772727272727273,0.13636363636363635,47.73,13.64
2021-11-17,LU,7,0,0,0.0,0.0,0.0,0.0
2021-11-17,LV,49,16,2,0.32653061224489793,0.04081632653061224,32.65,4.08
2021-11-17,LY,107,26,11,0.24299065420560748,0.102803738317757,24.3,10.28
2021-11-17,MA,113,46,4,0.40707964601769914,0.035398230088495575,40.71,3.54
2021-11-17,MD,48,19,3,0.3958333333333333,0.0625,39.58,6.25
2021-11-17,ME,32,6,1,0.1875,0.03125,18.75,3.12
2021-11-17,MG,6,4,1,0.6666666666666666,0.16666666666666666,66.67,16.67
2021-11-17,MH,2,1,1,0.5,0.5,50.0,50.0
2021-11-17,MK,64,19,1,0.296875,0.015625,29.69,1.56
2021-11-17,ML,57,11,5,0.19298245614035087,0.08771929824561403,19.3,8.77
2021-11-17,MM,462,127,22,0.2748917748917749,0.047619047619047616,27.49,4.76
2021-11-17,MQ,18,4,2,0.2222222222222222,0.1111111111111111,22.22,11.11
2021-11-17,MR,1,0,0,0.0,0.0,0.0,0.0
2021-11-17,MT,4,2,0,0.5,0.0,50.0,0.0
2021-11-17,MU,53,18,4,0.33962264150943394,0.07547169811320754,33.96,7.55
2021-11-17,MV,13,4,1,0.3076923076923077,0.07692307692307693,30.77,7.69
2021-11-17,MW,5,2,0,0.4,0.0,40.0,0.0
2021-11-17,MX,2848,1128,246,0.3960674157303371,0.08637640449438203,39.61,8.64
2021-11-17,MY,1102,399,73,0.3620689655172414,0.0662431941923775,36.21,6.62
2021-11-17,MZ,16,4,1,0.25,0.0625,25.0,6.25
2021-11-17,NA,17,9,0,0.5294117647058824,0.0,52.94,0.0
2021-11-17,NC,10,5,3,0.5,0.3,50.0,30.0
2021-11-17,NE,32,11,5,0.34375,0.15625,34.38,15.62
2021-11-17,NG,322,107,47,0.33229813664596275,0.14596273291925466,33.23,14.6
2021-11-17,NI,80,30,7,0.375,0.0875,37.5,8.75
2021-11-17,NL,93,28,4,0.3010752688172043,0.043010752688172046,30.11,4.3
2021-11-17,NO,30,6,1,0.2,0.03333333333333333,20.0,3.33
2021-11-17,NP,123,43,8,0.34959349593495936,0.06504065040650407,34.96,6.5
2021-11-17,NZ,95,31,7,0.3263157894736842,0.07368421052631578,32.63,7.37
2021-11-17,OM,31,14,2,0.45161290322580644,0.06451612903225806,45.16,6.45
2021-11-17,PA,133,51,15,0.38345864661654133,0.11278195488721804,38.35,11.28
2021-11-17,PE,1057,405,101,0.38315988647114474,0.09555345316934721,38.32,9.56
2021-11-17,PF,5,3,1,0.6,0.2,60.0,20.0
2021-11-17,PG,11,3,3,0.2727272727272727,0.2727272727272727,27.27,27.27
2021-11-17,PH,1638,561,107,0.3424908424908425,0.06532356532356533,34.25,6.53
2021-11-17,PK,33,12,1,0.36363636363636365,0.030303030303030304,36.36,3.03
2021-11-17,PL,471,174,32,0.36942675159235666,0.06794055201698514,36.94,6.79
2021-11-17,PR,59,17,2,0.288135593220339,0.03389830508474576,28.81,3.39
2021-11-17,PS,170,70,15,0.4117647058823529,0.08823529411764706,41.18,8.82
2021-11-17,PT,187,68,18,0.36363636363636365,0.0962566844919786,36.36,9.63
2021-11-17,PY,62,22,2,0.3548387096774194,0.03225806451612903,35.48,3.23
2021-11-17,QA,33,9,4,0.2727272727272727,0.12121212121212122,27.27,12.12
2021-11-17,RE,20,9,2,0.45,0.1,45.0,10.0
2021-11-17,RO,593,224,41,0.3777403035413153,0.06913996627318718,37.77,6.91
2021-11-17,RS,115,40,8,0.34782608695652173,0.06956521739130435,34.78,6.96
2021-11-17,RU,2431,873,213,0.3591114767585356,0.08761826408885233,35.91,8.76
2021-11-17,RW,1,0,0,0.0,0.0,0.0,0.0
2021-11-17,SA,567,190,51,0.3350970017636684,0.08994708994708994,33.51,8.99
2021-11-17,SB,4,1,0,0.25,0.0,25.0,0.0
2021-11-17,SC,6,1,0,0.16666666666666666,0.0,16.67,0.0
2021-11-17,SE,45,16,6,0.35555555555555557,0.13333333333333333,35.56,13.33
2021-11-17,SG,111,48,17,0.43243243243243246,0.15315315315315314,43.24,15.32
2021-11-17,SH,1,0,0,0.0,0.0,0.0,0.0
2021-11-17,SI,33,17,3,0.5151515151515151,0.09090909090909091,51.52,9.09
2021-11-17,SK,269,98,22,0.3643122676579926,0.08178438661710037,36.43,8.18
2021-11-17,SL,24,4,7,0.16666666666666666,0.2916666666666667,16.67,29.17
2021-11-17,SM,1,1,0,1.0,0.0,100.0,0.0
2021-11-17,SN,67,17,4,0.2537313432835821,0.05970149253731343,25.37,5.97
2021-11-17,SO,32,10,0,0.3125,0.0,31.25,0.0
2021-11-17,SR,7,2,1,0.2857142857142857,0.14285714285714285,28.57,14.29
2021-11-17,SV,70,25,5,0.35714285714285715,0.07142857142857142,35.71,7.14
