session_number,country,sessions_count,avg_session_duration_sec,avg_session_duration_min
1,AD,36,576.1944444444445,9.603240740740741
1,AE,4241,456.98868191464277,7.616478031910713
1,AF,1013,330.38993089832184,5.506498848305364
1,AG,69,540.6666666666666,9.011111111111111
1,AI,10,861.9,14.365
1,AL,976,530.1424180327868,8.835706967213115
1,AM,1499,496.7264843228819,8.278774738714699
1,AO,379,473.55936675461743,7.892656112576957
1,AR,51477,608.6974765429221,10.144957942382035
1,AS,77,639.3246753246754,10.655411255411256
1,AT,1665,415.31891891891894,6.921981981981983
1,AU,8185,561.5737324373855,9.359562207289759
1,AW,58,595.0,9.916666666666666
1,AX,9,270.44444444444446,4.507407407407408
1,AZ,3152,521.1770304568528,8.686283840947546
1,BA,1507,544.009289980093,9.066821499668215
1,BB,148,692.9662162162163,11.549436936936937
1,BD,6551,457.2101969165013,7.620169948608354
1,BE,3482,416.126651349799,6.9354441891633165
1,BF,1136,451.57130281690144,7.526188380281691
1,BG,4552,454.7128734622144,7.578547891036907
1,BH,401,387.1371571072319,6.452285951787199
1,BI,2,15.5,0.25833333333333336
1,BJ,369,490.2249322493225,8.170415537488708
1,BL,2,907.5,15.125
1,BM,8,617.375,10.289583333333333
1,BN,382,505.63350785340316,8.427225130890053
1,BO,8213,616.9510532083283,10.282517553472138
1,BQ,6,457.8333333333333,7.6305555555555555
1,BR,120774,494.9751684965307,8.249586141608846
1,BS,300,526.5433333333333,8.775722222222221
1,BT,160,412.7125,6.878541666666666
1,BW,122,347.5327868852459,5.792213114754099
1,BY,4464,608.608870967742,10.1434811827957
1,BZ,194,500.14948453608247,8.335824742268041
1,CA,10849,554.5453037146281,9.242421728577135
1,CD,301,420.9102990033223,7.015171650055371
1,CF,11,208.36363636363637,3.472727272727273
1,CG,125,330.904,5.515066666666667
1,CH,1248,389.3798076923077,6.489663461538461
1,CI,2108,459.508064516129,7.658467741935484
1,CK,2,97.0,1.6166666666666667
1,CL,20942,459.8351160347627,7.663918600579378
1,CM,656,408.2865853658537,6.8047764227642284
1,CN,31112,684.6537991771663,11.410896652952772
1,CO,34140,544.3367896895138,9.072279828158564
1,CR,2078,504.54090471607316,8.40901507860122
1,CU,1,755.0,12.583333333333334
1,CV,120,303.175,5.0529166666666665
1,CW,108,449.787037037037,7.4964506172839505
1,CX,1,34.0,0.5666666666666667
1,CY,635,446.8031496062992,7.446719160104987
1,CZ,6994,548.6412639405205,9.144021065675341
1,DE,27851,457.86083084987973,7.631013847497996
1,DJ,211,209.92890995260663,3.498815165876777
1,DK,626,433.91693290734827,7.231948881789138
1,DM,4,546.25,9.104166666666666
1,DO,7407,587.2195220737141,9.786992034561901
1,DZ,201,436.2587064676617,7.270978441127695
1,EC,8221,558.0339374771926,9.300565624619876
1,EE,340,450.6794117647059,7.511323529411765
1,EG,568,406.07394366197184,6.767899061032864
1,EH,68,502.9852941176471,8.383088235294117
1,ES,14439,463.0665558556687,7.717775930927812
1,ET,514,387.15175097276267,6.452529182879378
1,FI,798,423.5576441102757,7.059294068504595
1,FJ,413,610.0,10.166666666666666
1,FK,1,174.0,2.9
1,FM,173,443.33526011560696,7.388921001926783
1,FO,13,322.6923076923077,5.378205128205128
1,FR,29911,523.6092407475511,8.726820679125852
1,GA,212,469.02358490566036,7.817059748427672
1,GB,18762,520.6470525530327,8.67745087588388
1,GD,63,492.4920634920635,8.208201058201059
1,GE,3694,572.1716296697347,9.536193827828912
1,GF,206,470.4466019417476,7.840776699029126
1,GG,11,479.54545454545456,7.992424242424243
1,GH,1057,457.1456953642384,7.619094922737307
1,GI,10,497.5,8.291666666666666
1,GL,77,347.53246753246754,5.792207792207792
1,GM,48,611.125,10.185416666666667
1,GN,1424,268.75983146067415,4.47933052434457
1,GP,193,519.9430051813472,8.665716753022453
1,GQ,8,292.75,4.879166666666666
1,GR,7206,539.921593116847,8.998693218614116
1,GT,7085,574.0815808045165,9.568026346741942
1,GU,170,522.0705882352942,8.701176470588235
1,GW,18,258.22222222222223,4.303703703703704
1,GY,463,520.7235421166307,8.678725701943845
1,HK,1096,451.4461678832117,7.524102798053528
1,HN,3986,544.6665830406422,9.077776384010702
1,HR,2258,551.5137289636847,9.191895482728079
1,HT,822,486.76277372262774,8.112712895377129
1,HU,7033,498.6975686051472,8.31162614341912
1,ID,93919,536.8322277707387,8.947203796178977
1,IE,2098,443.0986653956149,7.384977756593582
1,IL,5549,408.3040187421157,6.805066979035262
1,IM,14,556.8571428571429,9.280952380952382
1,IN,355699,586.2769307757402,9.77128217959567
1,IQ,2294,433.10418482999125,7.218403080499854
1,IR,4,222.5,3.7083333333333335
1,IS,47,687.7446808510638,11.46241134751773
1,IT,35385,553.6277801328247,9.227129668880412
1,JE,10,560.2,9.336666666666668
